Artist,Genres,Popularity,Followers
Bjørn Riis,progressive rock; art rock; progressive metal,24,24860
"Black Country, New Road",art rock; post-rock,55,425278
Black Fast,thrash metal; speed metal,11,9827
Black Flag,punk; hardcore punk; skate punk; hardcore; proto-punk,46,699576
Black Foxxes,,26,29582
Black Label Society,groove metal; metal; heavy metal,62,1815253
Black Lung,stoner rock; stoner metal; space rock; sludge metal; doom metal; drone metal,24,7235
black midi,noise rock; post-punk; math rock; art rock,42,302096
Black Rebel Motorcycle Club,southern gothic; garage rock; blues rock,51,585175
Black Sabbath,metal; heavy metal; rock; stoner rock; doom metal; hard rock,75,9728800
Black Tape For A Blue Girl,darkwave; neoclassical; gothic rock; deathrock; dark ambient,25,24698
Black Veil Brides,emo; screamo,59,2090212
Blackbraid,black metal; metal,39,77230
Blackfield,progressive rock; progressive metal; art rock,36,145111
Blawan,techno,38,72036
Blazing Eternity,doom metal; gothic metal,13,3119
blessthefall,metalcore; post-hardcore; screamo,54,690593
Blind Channel,,44,184874
Blind Ego,progressive rock; progressive metal,29,16408
Blind Guardian,power metal; speed metal; symphonic metal; metal; folk metal; medieval metal; heavy metal,51,777824
Blind Pilot,indie folk,45,262535
Blinded Colony,melodic death metal; metalcore,13,16048
Bloc Party,indie rock,59,1210759
Blonde Redhead,shoegaze; dream pop,47,384945
Blondie,,69,1875987
Blood Incantation,death metal; progressive metal,40,151422
Blossoms,indie,54,496727
Blue Bendy,art rock,19,6027
Blue Man Group,,39,78944
Blue Öyster Cult,classic rock; hard rock,62,1712756
Blur,britpop; madchester; alternative rock,67,3909288
Boards of Canada,idm; ambient; trip hop; downtempo; electronic,54,733785
Bob Dylan,folk rock; folk; singer-songwriter; roots rock; country rock,72,7347733
Bob Marley & The Wailers,reggae; roots reggae,78,13340999
Body Count,rap metal; rap rock; groove metal,43,329033
Bohren & Der Club Of Gore,dark ambient; drone,38,125766
Bola,idm; glitch; ambient,15,14057
Bolt Thrower,death metal; grindcore; metal,43,257036
Bon Jovi,glam metal; rock,77,15739255
Bong-Ra,breakcore; idm; speedcore; jungle; gabber,20,17387
Booka Shade,minimal techno; melodic house; melodic techno; electronica,50,242925
Boris Brejcha,minimal techno; techno; melodic techno; tech house,61,1592294
Boris Grebenshikov,,32,80536
Borknagar,black metal; folk metal; progressive metal; metal; melodic death metal,31,109059
Bosse-de-Nage,black metal,9,15184
Boston Manor,pop punk,48,181665
Botch,mathcore; metalcore; hardcore; noise rock; post-hardcore; math rock; hardcore punk,28,66370
boygenius,,62,1074496
Brand New,emo; pop punk; post-hardcore,56,760312
Break My Fucking Sky,post-rock,23,11741
Breakdown of Sanity,metalcore; deathcore; djent; metal; post-hardcore,40,141481
Breaking Benjamin,alternative metal; post-grunge; rock; hard rock,71,5140859
Brian Eno,ambient; art rock; krautrock; minimalism; drone; glam rock; space music,59,827507
Bring Me The Horizon,metalcore; emo; screamo; rock; post-hardcore,76,6612545
Brittany Howard,,49,316904
Broken Bells,,52,622957
Broken Social Scene,baroque pop; indie rock; indie,49,398882
Bruce Dickinson,heavy metal; metal,48,672143
Bruce Soord,progressive rock; progressive metal; art rock,26,15954
