Artist,Genres,Popularity,Followers
Mushroomhead,nu metal; industrial metal; rap metal; alternative metal; metal,48,845538
Muslimgauze,industrial; industrial rock; idm; dark ambient; experimental; avant-garde; drone,26,48000
my bloody valentine,shoegaze; dream pop; slowcore; noise rock,52,1099663
My Chemical Romance,emo; pop punk,78,10254040
My Dying Bride,doom metal; gothic metal; sludge metal; stoner metal; gothic rock,38,198150
My Own Private Alaska,screamo,11,6509
My Sleeping Karma,stoner rock; space rock; psychedelic rock; stoner metal; post-rock; sludge metal,31,86380
Mylène Farmer,variété française; french pop; chanson,54,656293
Myrath,progressive metal; folk metal; power metal; symphonic metal; metal,35,117042
Myrkur,folk metal; black metal; celtic,43,223686
Mötley Crüe,glam metal; glam rock; hard rock,70,5946923
Nadine Shah,art rock,33,60076
Nailbomb,groove metal; industrial metal; sludge metal; thrash metal; industrial,41,159306
Nails,grindcore; mathcore; hardcore; hardcore punk; sludge metal; death metal,39,136224
Nathan Fake,idm; minimal techno,31,87556
Nation of Language,synthpop,55,144534
Nautilus Pompilius,,46,491460
Nazareth,hard rock,58,1648013
Ne Obliviscaris,progressive metal; melodic death metal; metal,39,160580
Neal Morse,progressive rock; progressive metal; christian rock,21,42483
Nearly God,trip hop; downtempo,16,18355
Nektar,progressive rock; krautrock; space rock; art rock; psychedelic rock,30,67970
Neurosis,sludge metal; stoner metal; drone metal; doom metal; drone; post-rock,30,151802
Neuroticfish,ebm; industrial; synthpop; darkwave,26,26929
Neutral Milk Hotel,anti-folk; folk punk,54,787222
Nevermore,progressive metal; groove metal; metal; thrash metal; power metal; heavy metal,37,144534
New Order,new wave; synthpop; post-punk; madchester,65,2462729
Nick Cave & The Bad Seeds,,62,1559398
Nick Cave & Warren Ellis,soundtrack,36,59915
Nick Drake,folk; singer-songwriter,60,944998
Nickelback,post-grunge; rock,77,7821677
Nicolas Jaar,downtempo; electronica,48,741896
Night Verses,progressive metal; djent; post-rock; post-hardcore,37,92705
Nightwish,symphonic metal; gothic metal; power metal; metal; folk metal; gothic rock,63,2419367
Nile,death metal; grindcore; metal,41,272430
Nilüfer Yanya,,50,249329
Nina Hagen,neue deutsche welle; brazilian rock,42,149052
Nine Inch Nails,industrial rock; industrial; industrial metal; alternative metal; nu metal,71,3051536
Nine Stones Close,progressive rock; progressive metal; art rock,6,3216
Ninet Tayeb,,42,72811
Nino Katamadze,,18,12714
Nirvana,grunge; rock,80,23276804
Nitzer Ebb,ebm; industrial; industrial rock; darkwave; industrial metal; synthpop,32,99150
No Doubt,,67,3117651
No-Man,progressive rock; art rock; art pop; space rock,20,35716
Nochnye Snaipery,,42,192850
Nocturnus,death metal; grindcore,23,48036
Noel Gallagher's High Flying Birds,britpop; madchester,57,1053550
NOFX,punk; skate punk; ska punk; ska; melodic hardcore; hardcore punk,57,1151866
Nogu Svelo!,,29,88318
Noise Unit,ebm; industrial; industrial rock; industrial metal,14,13006
Noisuf-X,ebm; industrial; industrial metal; darkwave,40,48150
Noize MC,,56,643027
Norah Jones,,71,3360991
Northlane,djent; metalcore; progressive metal; metal; deathcore; post-hardcore,51,373772
Nosound,progressive rock; post-rock; art rock; progressive metal; space rock,22,28698
Nothing,shoegaze; dream pop; slowcore,41,158565
Nothing But Thieves,,62,1322705
"nothing,nowhere.",emo rap,54,464355
Novembers Doom,doom metal; gothic metal; sludge metal; melodic death metal; stoner metal,32,67344
Novembre,gothic metal; doom metal; progressive metal; melodic death metal; drone metal,24,39730
Now And On Earth,metalcore; post-hardcore,17,17310
Numenorean,black metal,25,43982
Nurse With Wound,drone metal; industrial; experimental; drone; avant-garde; dark ambient; krautrock,20,46146
O.R.k.,progressive metal; progressive rock,12,13310
Oasis,britpop; madchester,80,12308161
Oathbreaker,black metal; mathcore; sludge metal,25,72255
Obituary,death metal; metal; grindcore; thrash metal,46,576355
Obscura,death metal; progressive metal; melodic death metal; metal,32,133213
Oceans of Slumber,progressive metal; gothic metal; doom metal,26,54698
Oceansize,post-rock; progressive rock; space rock; progressive metal,27,47549
October Tide,doom metal; melodic death metal; gothic metal; sludge metal; drone metal; stoner metal; death metal,21,42079
ODESZA,chillwave; chillstep,64,1708403
Of Mice & Men,metalcore; post-hardcore; screamo; metal,57,1355836
Oh Hiroshima,post-rock; math rock; space rock,32,54515
Oh Wonder,,63,1093142
"Oh, Sleeper",metalcore; christian rock; post-hardcore; screamo,33,113084
Okean Elzy,,53,1184185
Olhava,black metal; drone metal,14,9619
Omar Rodríguez-López,math rock,30,114377
Omega Massif,sludge metal; doom metal; post-rock; drone metal; stoner metal; drone,15,17721
Omnium Gatherum,melodic death metal; death metal; metal,36,99592
On Thorns I Lay,gothic metal; doom metal; melodic death metal,15,13839
Onségen Ensemble,post-rock; progressive rock; space rock; stoner metal; stoner rock,4,3608
OOMPH!,industrial metal; industrial rock; industrial; ebm; medieval metal,46,411258
Opera IX,gothic metal; black metal; symphonic metal,16,28432
Opeth,progressive metal; progressive rock; metal; death metal; melodic death metal,57,1117604
Oranssi Pazuzu,black metal; avant-garde; drone metal; sludge metal,30,75059
Orgy,industrial rock; industrial metal; nu metal; industrial,49,395260
Origamibiro,neoclassical; drone,16,7640
Ornette Coleman,free jazz; jazz; avant-garde; hard bop; bebop,32,147763
Orphaned Land,folk metal; progressive metal; symphonic metal; metal,29,87224
Otep,nu metal; rap metal; metal; alternative metal,40,433312
Otto Dix,darkwave; ebm; industrial; gothic rock; deathrock,17,8342
Our Last Night,post-hardcore; metalcore,60,1219779
Oval,idm; glitch; ambient; drone; experimental; dub techno; neoclassical; minimalism,22,31948
Overkill,thrash metal; speed metal; groove metal; metal; heavy metal,41,610104
Overmono,uk garage; breakbeat,53,186058
Oxxxymiron,,51,643893
Ozric Tentacles,space rock; progressive rock; psychedelic rock; krautrock; neo-psychedelic; acid rock; jam band,32,91919
Ozzy Osbourne,metal; glam metal; heavy metal; hard rock,75,7518073
P.O.D.,nu metal; christian rock; rap metal; rap rock; alternative metal,61,2086517
Pain of Salvation,progressive metal; progressive rock,36,146490
Painbastard,ebm; industrial; industrial metal; darkwave,10,8973
Palaye Royale,,58,782914
Palisades,post-hardcore; metalcore,40,180285
Pallbearer,doom metal; sludge metal; stoner metal; drone metal; stoner rock,32,97401
Palm Reader,mathcore; metalcore; melodic hardcore; post-hardcore,15,14532
Pan Sonic,idm; glitch; drone; experimental; avant-garde; minimalism; minimal techno,19,23537
Pan-Pot,techno; minimal techno,36,222568
Panda Bear,neo-psychedelic,55,242387
Panic Lift,ebm; industrial; synthpop,15,5699
Panic! At The Disco,emo,74,12703035
Panopticon,black metal,31,72915
Pantera,groove metal; metal; thrash metal; heavy metal,71,6232204
Papa Roach,nu metal; rap metal; alternative metal; rap rock; rock,71,6068375
para bellvm,deathrock; gothic rock; post-punk,1,267
Paradise Lost,gothic metal; doom metal; gothic rock; sludge metal; metal; stoner metal,54,370270
Paramore,pop punk; emo,78,9758138
Pariah,uk funky,24,16275
Paris Paloma,,66,777382
Parkway Drive,metalcore; metal; deathcore,62,1273320
Parov Stelar,electro swing; swing music; nu jazz,59,1104299
Parov Stelar Trio,electro swing; swing music; nu jazz,28,34107
Passenger,folk pop,67,3752093
PATRIARKH,black metal; metal,36,183726
Paul McCartney,,69,5233600
Pavement,alternative rock; indie,58,736236
Pavlov's Dog,progressive rock; art rock,33,39363
Pearl Jam,grunge; rock; post-grunge,74,9890512
Peeping Tom,funk rock,29,84983
Pendragon,progressive rock,10,2677
Pendulum,drum and bass; dubstep,63,1018749
Pennywise,punk; skate punk; ska punk; melodic hardcore; hardcore punk; ska,53,813844
Penumbra,gothic metal; symphonic metal; doom metal; gothic rock,15,18688
Periphery,djent; progressive metal; metalcore; metal; mathcore,50,537731
Persefone,progressive metal; melodic death metal; djent; death metal; metal,33,79481
Perturbator,synthwave; darkwave; vaporwave,52,366847
Pestilence,death metal; grindcore; thrash metal,31,127611
Pet Shop Boys,synthpop; new wave,67,2184817
Peter Gabriel,art rock,62,1935087
Petlya Pristrastiya,post-punk; cold wave,26,25332
pg.lost,post-rock; math rock,26,78345
Phantogram,,69,962075
Phideaux,progressive rock; art rock; progressive metal; space rock,25,16445
Phil Collins,soft rock,75,7296468
Pianos Become The Teeth,melodic hardcore; screamo; post-hardcore; midwest emo; emo,30,84136
Pierce The Veil,emo; screamo; post-hardcore,76,3893558
Piknik,art rock,39,174936
Pink Floyd,progressive rock; psychedelic rock; classic rock; art rock; rock,79,22658725
Pixies,alternative rock,68,3528579
PJ Harvey,art pop; singer-songwriter; alternative rock,56,1197449
Placebo,britpop,62,2093311
Plaid,idm; glitch,34,118116
Plastikman,minimal techno; acid house; idm; acid techno; dub techno; techno,32,101882
Plini,djent; progressive metal; math rock; progressive rock,47,351383
Poets of the Fall,finnish rock,47,318762
Poh Hock,progressive metal; djent,13,5910
polnalyubvi,,39,115049
Pop Evil,,55,631993
Poppy,,66,1674145
Porcupine Tree,progressive rock; progressive metal; art rock; space rock,52,764020
Pornofilmy,,44,634837
Portishead,trip hop; downtempo,64,2330701
Poshlaya Molly,,62,2260820
Powerwolf,power metal; metal; symphonic metal; folk metal; medieval metal; heavy metal,60,1050900
Pretenders,,61,1676764
Pretty Maids,arena rock; aor; hard rock; glam metal; heavy metal; power metal,39,94076
Primal Fear,power metal; speed metal; heavy metal; metal,43,173778
Primal Scream,madchester; britpop; alternative dance,50,558199
Pro-Pain,groove metal; hardcore; hardcore punk; speed metal,37,82271
Procol Harum,progressive rock; baroque pop,50,531027
Proem,idm; glitch; ambient,17,13862
Project Gemini,neo-psychedelic,23,4758
Project Pitchfork,ebm; industrial; darkwave; industrial metal; synthpop; gothic rock; industrial rock,38,83391
Prong,groove metal; industrial metal; thrash metal; alternative metal; industrial rock; metal,39,196949
Prophets Of Rage,rap metal; rap rock,37,437185
Protomartyr,post-punk; noise rock; indie punk,36,113907
Psychea,nu metal; industrial metal; alternative metal,31,29701
Psychic TV,acid house; industrial; post-punk,31,82000
Psychonaut,sludge metal; progressive metal; stoner metal; stoner rock; post-rock,28,25422
Psychotic Waltz,progressive metal; progressive rock,11,22306
Psyclon Nine,industrial; ebm; industrial metal; industrial rock; darkwave,29,52276
Pulp,britpop; madchester,59,1083752
Pure Reason Revolution,progressive rock; progressive metal; art rock,25,32993
PVRIS,,58,719339
Queen,classic rock; rock; glam rock,82,55083530
Queens of the Stone Age,stoner rock; alternative rock,69,3828522
Queensrÿche,progressive metal; glam metal; metal; heavy metal; progressive rock; hard rock,54,733382
Quiet Riot,glam metal; hard rock; glam rock,55,2040904
R.E.M.,jangle pop; alternative rock; rock,72,5346153
r.roo,idm; dub techno; glitch; downtempo; dark ambient,7,4566
Rabbit Junk,industrial metal; industrial rock; industrial,34,57079
Radiohead,art rock; alternative rock,85,13702219
Rage,power metal; speed metal; heavy metal; metal; thrash metal,42,123162
Rage Against The Machine,rap metal; rap rock; alternative metal; nu metal,69,6891042
Rainbow,hard rock; aor; metal; heavy metal,57,1650525
Raison D'être,dark ambient; drone; ambient; industrial,19,14651
Rammstein,industrial metal; metal; industrial rock; industrial,77,11765017
Ramones,punk; proto-punk,63,2900031
Rancid,punk; ska punk; ska; skate punk; hardcore punk,55,966877
Raunchy,melodic death metal; industrial metal; groove metal,24,23048
Ray Wilson,progressive rock,37,25664
Razorlight,britpop; indie,53,583091
Real Estate,jangle pop; dream pop; surf rock,45,409064
Reb Fountain,,30,14719
Recoil,trip hop; ebm; industrial,25,36657
Red Hot Chili Peppers,funk rock; alternative rock; rock,82,23153901
Red Moon Architect,doom metal; gothic metal; melodic death metal; drone metal; sludge metal; stoner metal,13,12143
Red Sparowes,post-rock; sludge metal,25,63051
Redemption,progressive metal; progressive rock; power metal,25,28413
Refused,hardcore punk; post-hardcore; punk; hardcore,52,288600
Reverb On Repeat,shoegaze,5,1232
Revocation,death metal; thrash metal; metal; melodic death metal; deathcore,43,138256
Revolution Renaissance,power metal; speed metal; symphonic metal,25,25423
Rhapsody,power metal; symphonic metal; speed metal; folk metal; metal,47,522997
Richard Ashcroft,britpop; madchester,53,481185
Richard Henshall,progressive metal; djent; progressive rock,21,13071
Richie Hawtin,minimal techno; acid house; acid techno; idm; techno; dub techno,35,288823
Ride,shoegaze; dream pop; britpop; madchester; jangle pop; slowcore; neo-psychedelic,41,257186
Rise Against,punk; hardcore punk,68,2934532
Rishloo,progressive metal; progressive rock; djent,39,102518
Rival Consoles,idm; electronica,45,186613
Rival Sons,blues rock; modern blues,48,477505
Rivers of Nihil,death metal; progressive metal; djent; deathcore; metal; melodic death metal,41,146896
Riverside,progressive rock; progressive metal; art rock,41,232943
Robbie Williams,,71,3306953
Robert Glasper,neo soul; jazz rap,57,505824
Robert Plant,,56,1153687
Robert Rich,space music; ambient; dark ambient; drone; new age,28,26592
Rod Stewart,soft rock,72,5542902
Roger Taylor,,32,349946
Roger Waters,progressive rock; art rock,50,1539185
Rollins Band,alternative metal; funk rock; hardcore punk,33,127019
Rolo Tomassi,mathcore; math rock; progressive metal; post-hardcore,31,72987
ROME,neoclassical; darkwave,40,62820
Rory Gallagher,blues rock; blues; modern blues; classic blues,50,492445
Rosetta,sludge metal; post-rock; drone metal; drone; stoner metal,20,39506
Rotting Christ,black metal; metal; gothic metal,43,282461
Roxette,swedish pop,72,2833609
Roxy Music,glam rock; art rock,59,1092550
Roy Orbison,rockabilly,64,2303708
Royal Blood,garage rock; rock,60,1706407
Royal Hunt,progressive metal; power metal; symphonic metal; speed metal; neoclassical; arena rock; aor,22,26507
Royal Republic,,53,257585
RPWL,progressive rock; art rock; progressive metal,38,53690
Running Wild,power metal; speed metal; heavy metal; metal,38,190275
Rush,progressive rock; classic rock; hard rock; rock; aor,64,2548494
Russian Circles,post-rock; sludge metal; math rock; stoner metal; progressive metal,41,278966
Sabaton,power metal; metal; heavy metal; symphonic metal; folk metal,69,2427047
Sadist,death metal; progressive metal,16,13244
Saga,progressive rock; aor; arena rock; art rock,39,99625
Saltillo,trip hop; downtempo,21,24897
Sam Fender,,71,1192224
Samael,black metal; industrial metal; metal; gothic metal; industrial,34,145325
Sama’ Abdulhadi,,17,59312
Samoe Bolshoe Prostoe Chislo,,31,61180
Saosin,post-hardcore; screamo; emo,54,554479
Saturnus,doom metal; gothic metal; sludge metal; stoner metal,30,69360
Satyricon,black metal; metal; norsk rock,41,328310
Savage Garden,,63,1543996
Savages,post-punk,26,127787
Savatage,power metal; heavy metal; progressive metal; metal,44,283141
Saxon,heavy metal; metal; hard rock; speed metal,47,653745
Scorpions,hard rock; glam metal; rock,72,8565443
Screaming Trees,grunge; post-grunge,43,360590
Seabound,ebm; industrial; synthpop; darkwave,20,22660
Secret Garden,new age; celtic,55,283098
Seether,post-grunge; alternative metal; rock,69,3818617
SeeYouSpaceCowboy...,mathcore; metalcore; screamo; post-hardcore; hardcore; hardcore punk,35,90580
Sega Bodega,hyperpop; art pop; experimental,46,132409
Sentenced,gothic metal; death metal; melodic death metal; finnish rock; metal; gothic rock; doom metal,40,117432
Septicflesh,death metal; symphonic metal; melodic death metal; black metal; metal,41,201794
Sepultura,thrash metal; groove metal; metal; death metal; nu metal; heavy metal; speed metal; alternative metal,59,2327573
Serious Black,power metal; speed metal; symphonic metal; arena rock,31,16384
Serj Tankian,,56,1189634
Sevendust,nu metal; alternative metal; rap metal; hard rock,54,1216435
Sex Pistols,punk; proto-punk,53,1998199
shame,post-punk,46,189895
Sharon Van Etten,,53,586413
She Wants Revenge,darkwave; gothic rock,62,705817
Shellac,noise rock; math rock; post-hardcore,31,93468
Shinedown,post-grunge; alternative metal; rock,70,4528483
Shining,black metal; metal,30,78821
Shiraz Lane,glam metal; aor; finnish rock; arena rock,27,14283
Shiva In Exile,new age; ambient folk; deathrock,8,1040
Shokran,djent; progressive metal; deathcore; metalcore; metal,32,75304
Shortparis,cold wave; post-punk,31,78521
Show Me the Body,noise rock,53,137985
Sieges Even,progressive metal; progressive rock; thrash metal,11,9124
Sigur Rós,post-rock; dream pop,56,1442360
Silent Planet,metalcore; djent; deathcore; post-hardcore; metal,50,225040
Silver Mt. Zion,post-rock,35,107308
Silverstein,post-hardcore; screamo; emo; metalcore; pop punk,58,810977
Simple Minds,new wave,65,2325616
Simply Red,,69,2755166
Sinéad O'Connor,,60,1389784
Siouxsie and the Banshees,gothic rock; post-punk; darkwave; new wave; deathrock; cold wave,58,1340533
Sirenia,symphonic metal; gothic metal; gothic rock; power metal; metal,42,247324
Skinny Puppy,industrial; ebm; industrial rock; industrial metal; darkwave; gothic rock; deathrock; post-punk,39,243236
Skrillex,dubstep; edm; electro; electronic,73,7528742
Skunk Anansie,,51,418913
Slade,glam rock; christmas,47,452542
Slash,hard rock,55,3101276
Slayer,thrash metal; metal; speed metal; heavy metal; groove metal; death metal,63,4450104
Sleater-Kinney,riot grrrl; queercore,40,280019
Sleep Token,progressive metal; metalcore,78,2784596
Sleeping With Sirens,emo; post-hardcore; screamo,64,2554820
sleepmakeswaves,post-rock; math rock,31,58604
Slint,post-rock; math rock; noise rock; slowcore; post-hardcore,39,243093
Slipknot,nu metal; metal; alternative metal; rap metal; heavy metal,78,14010714
Slowdive,shoegaze; dream pop; slowcore,63,1360151
slowthai,grime; uk grime,51,531864
Smash Into Pieces,,56,344527
Snarky Puppy,jazz fusion; jazz funk; jazz; funk rock; nu jazz,46,759431
Sneaker Pimps,trip hop; downtempo,50,301717
Snow Patrol,,67,3294930
Sodom,thrash metal; speed metal; metal; groove metal; black metal; heavy metal,45,539724
Soen,progressive metal; progressive rock; djent; metal,48,310223
Soft Cell,synthpop; new wave,60,788984
Soft Machine,progressive rock; jazz fusion; krautrock; psychedelic rock; art rock; acid rock; space rock,33,149420
SOFT PLAY,,50,276509
Soilwork,melodic death metal; metal; death metal; alternative metal,48,345677
Sol Invictus,neoclassical; darkwave; industrial; folk,23,22058
Solar Fields,ambient; space music; downtempo,39,105909
Solitary Experiments,ebm; industrial; synthpop; darkwave,32,32056
Somali Yacht Club,stoner rock; stoner metal; space rock; sludge metal; psychedelic rock; doom metal; acid rock,27,58563
Somatic Responses,idm; acid techno; breakcore; glitch; industrial; dark ambient,5,2628
Sonata Arctica,power metal; symphonic metal; speed metal; progressive metal; metal; folk metal,50,656500
Songs: Ohia,slowcore; alt country; anti-folk,43,146245
Sonic Death,post-punk; cold wave,18,18218
Sonic Youth,noise rock; grunge; alternative rock; post-punk; shoegaze,55,1306219
Sonny Rollins,hard bop; jazz; bebop; cool jazz; free jazz,47,372436
Sons Of Apollo,progressive metal; progressive rock,24,95280
Sons Of Kemet,nu jazz; jazz,33,158004
Soulfly,groove metal; nu metal; metal; rap metal; alternative metal; thrash metal,50,801038
Soulsavers,,33,49794
Soundgarden,grunge; post-grunge; hard rock,68,5068837
Soup,progressive rock; post-rock; art rock; progressive metal,13,7329
Spanish Love Songs,midwest emo; indie punk; pop punk,42,74071
Spiritbox,metalcore; djent; metal,65,996537
Spiritual Front,neoclassical,22,19485
Splean,,48,538682
Spock's Beard,progressive rock; progressive metal; art rock,28,63148
Spoon,indie rock; indie,54,683708
Spotlights,sludge metal; post-rock; shoegaze; space rock; doom metal; drone metal; stoner metal,21,25578
Squarepusher,idm; breakcore; glitch,39,264074
Squid,post-punk; art rock; noise rock; egg punk,37,170255
St. Vincent,art pop,61,971264
Stan Kolev,progressive house; melodic techno; melodic house; organic house,33,39509
Stars Of The Lid,ambient; drone; post-rock; space music; minimalism,40,99126
Static-X,industrial metal; nu metal; industrial rock; industrial; rap metal; metal; alternative metal,58,1618545
Status Quo,glam rock; blues rock,56,842467
Stendeck,idm; glitch; dark ambient,10,5131
Stereolab,art pop; krautrock; post-rock; neo-psychedelic,52,395810
Stereophonics,britpop,64,1743761
Steve Hackett,progressive rock; art rock,39,167898
Steve Howe,progressive rock; art rock,24,74958
Steve Roach,space music; ambient; drone; dark ambient; new age,34,46047
Steven Wilson,progressive rock; progressive metal; art rock,48,438140
Stick To Your Guns,melodic hardcore; hardcore; metalcore; hardcore punk; post-hardcore,47,241384
Stigmata,hardcore; hardcore punk,12,5117
Still Corners,dream pop,58,372445
Stille Opprör,norsk rock; progressive rock,0,112
Stillife,ambient folk; darkwave; gothic rock,2,793
Sting,soft rock,70,3842715
Stone Sour,post-grunge; alternative metal; nu metal,63,3098568
Stone Temple Pilots,grunge; alternative rock; post-grunge; rock,68,3979152
Story Of The Year,emo; post-hardcore; screamo; pop punk,54,564101
Strapping Young Lad,industrial metal; progressive metal; groove metal; metal; industrial rock; industrial,36,180464
Stratovarius,power metal; symphonic metal; speed metal; metal; progressive metal; heavy metal,52,734747
Strawberry Girls,math rock; mathcore; djent; progressive metal,34,95472
Stray From The Path,metalcore; hardcore; melodic hardcore; hardcore punk; mathcore,42,146696
STRFKR,,54,483138
Subsignal,progressive rock; progressive metal,27,20292
SubtractiveLAD,idm; drone; ambient,6,2219
Subway To Sally,medieval metal; medieval; folk metal; folk rock,45,152093
Suede,britpop; madchester,53,534050
Suffocation,death metal; grindcore; metal; deathcore,40,282694
Sufjan Stevens,baroque pop,70,2353928
Suicidal Tendencies,thrash metal; hardcore punk; punk; skate punk; speed metal,52,833802
Suicide Commando,ebm; industrial; darkwave; industrial metal; industrial rock,34,81635
Suicide Silence,deathcore; metalcore; death metal; metal; screamo,50,912922
Sum 41,pop punk; punk; skate punk,69,4316108
Summoning,black metal; folk metal; metal,36,134267
Sun Ra,free jazz; jazz; avant-garde; hard bop,39,222505
Sunflower Bean,,39,119259
sunn O))),drone metal; drone; doom metal; sludge metal; stoner metal; dark ambient; avant-garde,31,180062
Sunset Trail,rap metal; metalcore,5,1150
Supertramp,progressive rock; classic rock,69,3955064
Swallow The Sun,doom metal; melodic death metal; gothic metal; sludge metal; progressive metal; drone metal,38,162820
Swans,noise rock; post-rock; industrial rock; experimental; industrial; post-punk; avant-garde; gothic rock; art rock; drone; drone metal,45,344560
Sweet,glam rock,54,514319
Sylosis,melodic death metal; metal; metalcore; thrash metal; groove metal; death metal,42,164907
Symphony X,progressive metal; power metal; symphonic metal; progressive rock; metal; neoclassical; speed metal,44,296813
System Of A Down,nu metal; metal; alternative metal; rap metal; rock,80,13892062
Sólstafir,post-rock; black metal; folk metal,33,157038
T. Rex,glam rock; proto-punk,58,1196741
Tactical Sekt,ebm; industrial; industrial metal; darkwave,22,19717
Tad Morose,power metal; progressive metal; speed metal; heavy metal,15,13554
Taking Back Sunday,emo; pop punk; screamo; post-hardcore; punk,60,948857
Talk Talk,new wave; synthpop,58,640771
Talking Heads,new wave; post-punk,67,2841359
Tame Impala,neo-psychedelic; indie,81,9394095
Tangerine Dream,krautrock; space music; space rock; progressive rock; new age; ambient,46,355931
Tantsy Minus,,38,138004
Tarakany!,,27,52958
Tarja,symphonic metal; gothic metal; power metal; gothic rock,44,390723
Taylor Swift,,100,144735124
Team Sleep,shoegaze; alternative metal,48,325921
Tears For Fears,new wave; synthpop,72,4079872
Technology,psytrance; synthpop,6,18674
Ted Nugent,classic rock; southern rock,51,1268265
Telefon Tel Aviv,idm; glitch; downtempo,28,93715
Temple Of The Dog,grunge; post-grunge,55,1406233
Tenhi,ambient folk; folk; dark ambient,20,27862
Tequilajazzz,math rock; noise rock,16,8839
TesseracT,djent; progressive metal; progressive rock; metal,44,345607
Testament,thrash metal; metal; speed metal; groove metal; heavy metal,56,1225462
Texas,,56,550032
Texas In July,metalcore; deathcore; djent; post-hardcore,31,130701
The Acacia Strain,deathcore; metalcore; djent; death metal; metal; hardcore,46,217774
The Afghan Whigs,grunge,36,124098
The Agonist,melodic death metal; metal; metalcore; death metal,34,183513
The Air I Breathe,metalcore; djent; deathcore; screamo; post-hardcore,19,21270
The Alan Parsons Project,progressive rock; classic rock,62,1676915
The Album Leaf,post-rock; ambient,41,164666
The Algorithm,djent; progressive metal; synthwave,33,104396
The American Dollar,post-rock; ambient,33,55066
The Amity Affliction,metalcore; post-hardcore; screamo,57,794365
The Angelic Process,drone metal; drone; shoegaze; doom metal; sludge metal,23,23942
The Arcs,,43,229068
The Armed,mathcore; noise rock,37,49490
The Art Of Noise,synthpop,43,182166
The Beatles,classic rock; psychedelic rock,82,30653297
The Black Dahlia Murder,melodic death metal; death metal; deathcore; metal,47,379416
The Black Dog,idm; ambient; dub techno; drone,40,55627
The Black Keys,blues rock; garage rock; modern blues; rock,68,4136063
The Black Noodle Project,progressive rock; space rock; post-rock; progressive metal,32,14545
The Body,drone metal; sludge metal; noise rock; drone; doom metal; industrial; industrial metal; stoner metal,27,66981
The Browning,deathcore; metalcore; deathstep; metal; djent,48,194765
The Callous Daoboys,mathcore; metalcore; post-hardcore,42,57667
The Cardigans,swedish pop,68,1657178
The Cars,power pop; new wave; classic rock,64,2033662
The Chariot,mathcore; metalcore; hardcore; post-hardcore; screamo,30,81916
The Charlatans,madchester; britpop,46,392960
The Chemical Brothers,big beat; alternative dance; electronic; breakbeat,61,2242015
The Civil Wars,southern gothic,52,800988
The Clash,punk,67,3153539
The Comet Is Coming,nu jazz; jazz fusion,33,181254
The Cranberries,,75,5368609
The Crystal Method,big beat; breakbeat; electronica,48,335369
The Cure,new wave; post-punk; gothic rock; darkwave,74,6628072
The Damned,punk; proto-punk; gothic rock; post-punk; deathrock; new wave; horror punk,47,416162
The Dave Brubeck Quartet,jazz; cool jazz,55,350606
The Dead Weather,garage rock; southern gothic; blues rock; modern blues,42,436517
The Dear Hunter,progressive rock; progressive metal,42,163096
The Decemberists,baroque pop; indie folk,51,639143
The Devil Makes Three,bluegrass; southern gothic; newgrass; americana; folk punk; alt country; folk; country blues,52,374896
The Devil Wears Prada,metalcore; post-hardcore; screamo; deathcore; metal,58,723257
The Dillinger Escape Plan,mathcore; metalcore; progressive metal; djent,41,275390
The Doors,psychedelic rock; classic rock; acid rock,70,8831475
The Ever Living,post-rock; doom metal; sludge metal,0,487
The Everlasters,,5,654
The Explorers Club,power pop,14,6396
The Fall of Troy,post-hardcore; mathcore; math rock; screamo,43,190404
The Flaming Lips,neo-psychedelic,52,857534
The Flashbulb,idm; breakcore; post-rock; glitch,39,65710
The Flower Kings,progressive rock; progressive metal; art rock,25,46957
The frozen Autumn,darkwave; cold wave; gothic rock; deathrock; post-punk; ebm,27,39362
The Future Sound Of London,idm; big beat; acid house; ambient; breakbeat; trip hop,38,166299
The Gaslight Anthem,,50,360747
The Gathering,gothic metal; symphonic metal; doom metal; progressive metal; gothic rock,40,154508
The Glitch Mob,glitch; dubstep,55,547916
The Goo Goo Dolls,,76,3461391
The Halo Effect,melodic death metal; death metal; metal,45,118396
The Hellacopters,garage rock; punk,43,134344
The Hirsch Effekt,mathcore; progressive metal; djent,15,16372
The Hives,garage rock,58,890096
The Horrors,shoegaze; post-punk,42,286181
The Jesus and Mary Chain,shoegaze; post-punk; dream pop; new wave; noise rock,50,544764
The Kilimanjaro Darkjazz Ensemble,dark ambient; nu jazz,29,64045
The Killers,alternative rock,76,7983748
The Kills,garage rock,46,691187
The Knife,electroclash,46,519489
The Kooks,indie; indie rock,67,2649658
The KVB,cold wave; darkwave; post-punk; gothic rock; shoegaze,37,92554
The Last Dinner Party,,62,652344
The Last Shadow Puppets,baroque pop,56,1204115
The Legendary Pink Dots,neo-psychedelic; avant-garde; industrial; deathrock; experimental; cold wave; gothic rock; darkwave; post-punk; space rock,26,47864
The Libertines,britpop; garage rock; indie rock; indie,51,919553
The Lumineers,folk pop; indie folk,76,5891904
The Magnetic Fields,anti-folk,57,279046
The Mars Volta,progressive rock; progressive metal; art rock,48,718418
The Mercury Program,post-rock; math rock; ambient,17,14887
The Microphones,slowcore; lo-fi indie; anti-folk; indie folk,45,236184
The Murder Capital,post-punk,38,97348
The National,indie rock,62,1681146
The Neal Morse Band,progressive rock; progressive metal,16,15419
The Necks,free jazz; experimental,21,30779
